2399,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]"
2894,"[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}]"
4789,"[{'id': 18, 'name': 'Drama'}]"
161,"[{'id': 14, 'name': 'Fantasy'}]"
1462,"[{'id': 18, 'name': 'Drama'}]"
1341,"[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
4367,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
3273,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 10402, 'name': 'Music'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]"
1492,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
588,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
2307,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
2401,"[{'id': 53, 'name': 'Thriller'}]"
4102,"[{'id': 27, 'name': 'Horror'}]"
1712,"[{'id': 35, 'name': 'Comedy'}]"
2392,"[{'id': 35, 'name': 'Comedy'}]"
1929,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
1843,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2568,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
1609,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]"
4179,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
323,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
2912,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
270,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]"
459,"[{'id': 37, 'name': 'Western'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
552,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
4741,"[{'id': 878, 'name': 'Science Fiction'}]"
2295,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
1545,"[{'id': 18, 'name': 'Drama'}]"
4510,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
2091,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
2452,"[{'id': 18, 'name': 'Drama'}]"
796,"[{'id': 35, 'name': 'Comedy'}, {'id': 37, 'name': 'Western'}]"
208,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]"
1621,"[{'id': 35, 'name': 'Comedy'}]"
2159,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
2705,"[{'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
1735,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
4048,"[{'id': 53, 'name': 'Thriller'}]"
340,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]"
713,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
4379,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}]"
3816,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 37, 'name': 'Western'}]"
226,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
71,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]"
4632,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
74,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
181,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]"
1915,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
3410,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]"
3682,"[{'id': 35, 'name': 'Comedy'}]"
3863,"[{'id': 18, 'name': 'Drama'}]"
3324,"[{'id': 35, 'name': 'Comedy'}]"
789,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
1249,"[{'id': 28, 'name': 'Action'}]"
1943,"[{'id': 18, 'name': 'Drama'}]"
3571,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
2013,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 36, 'name': 'History'}]"
2066,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
2042,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}]"
2731,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
